rank,company,contact_name,email,vertical,email_verification_status,lead_score,priority,personalization_angle,message_subject,recommended_send_date,backup_channel
15,Streetside Classics - Charlotte,Bob Mueller,info@streetsideclassics.com,classic_dealer,likely_valid,5,5,"Bob & Donna Mueller opened the first Charlotte showroom in 2008; now the #1 US classic car dealer with six locations (Charlotte, Atlanta, DFW, Nashville, Phoenix, Tampa). Multi-location channel.",a routed feed for streetside classics - charlotte,2026-05-31,phone +17045982130 / LinkedIn / contact form
16,"AIC Title Service, LLC",Customer Service / Escrow Department,info@aictitle.com,escrow_title,likely_valid,5,5,"Industry leader in FAA Aircraft Registry document submission, title search, lien clearance, escrow, and International Registry (Cape Town Convention) services. OKC base = co-located with FAA Aircraft Registry → same-day filing.",marketplace deals needing escrow and title,2026-05-31,phone +18002882519 / LinkedIn / contact form
17,Anacortes Marine Documentation,Sonya,sonya@anacortesmarinedoc.com,escrow_title,likely_valid,5,5,Independent full-service PNW vessel title and documentation company with 30+ years. Strong on cross-border closings (US/Canada/Mexico + international registries) — exactly what TradeWind needs for the Salish Sea cohort.,marketplace deals needing escrow and title,2026-05-31,phone +13605884876 / LinkedIn / contact form
18,"Dona Jenkins Maritime Document Service, Inc.",Dona Jenkins,info@donajenkins.com,escrow_title,likely_valid,5,5,"Founder-led San Diego documentation house operating since ~1999 (25+ years). Full-stack USCG documentation, state registration, abstracts, mortgages, liens, deletions. Partnered escrow via Law Offices of Paul S. Trusso.",marketplace deals needing escrow and title,2026-05-31,phone +16192232279 / LinkedIn / contact form
19,"Insured Aircraft Title Service, LLC (IATS)",Kirk Woford,iats@insuredaircraft.com,escrow_title,likely_valid,5,5,"Most established names in FAA aircraft title and escrow. Kirk has led IATS since 1987, supported by senior staff with 40+ years (Tammie Morgan, Bill Morgan). Bonded/insured closings.",marketplace deals needing escrow and title,2026-05-31,phone +18006544882 / LinkedIn / contact form
20,Prestige Imports Miami,Brett David,bdavid@prestigeimports.com,exotic_dealer,likely_valid,5,5,"Took over as CEO at 19 after father Irv passed in 2007. Added Lamborghini Miami, Pagani Miami, Lotus Miami, Karma Miami. Founder-led, personally active on IG (@brett_david).",routed buyers for the showroom,2026-05-31,phone +13059471000 / LinkedIn / contact form
21,Gowrie Group / IMIS,Mark Gargula,markg@gowrie.com,insurance,likely_valid,5,5,Largest independent marine insurance group in the US. IMIS division has serviced yacht owners since 1987 and sits in the heart of Chesapeake Bay yacht country.,marketplace buyers asking about coverage,2026-06-01,phone +18603917371 / LinkedIn / contact form
22,Wings Insurance,Tom Hauge,thauge@wingsinsurance.com,insurance,likely_valid,5,5,20+ years aviation brokerage. Manages large commercial/corporate accounts including FBO and jet fleet programs. Chairs Wings' very-light-jet / owner-flown turbine transition program.,marketplace buyers asking about coverage,2026-06-01,phone +16125785055 / LinkedIn / contact form
23,Sterling Acceptance Corporation,Matt Brown,matt@sterlingacceptance.com,lender,likely_valid,5,5,"Founded 1987 by Karen Trostle (38+ yrs in marine lending). 4 nationwide loan production offices. Deep Annapolis/Chesapeake yacht broker network. Yacht loans, current promo rates from 5.99%.",marketplace buyers needing financing,2026-06-01,phone +14102681545 / LinkedIn / contact form
24,Atlantic Marine Survey,Barnaby Blatch,bblatch0@gmail.com,marine_surveyor,likely_valid,5,5,"Dual SAMS AMS + NAMS CMS in Mystic CT — covers CT, RI, eastern NY and southern MA. Sailboat-heavy New England complements TradeWind powerboat/Florida concentration.",buyers asking who to trust for surveys,2026-06-01,phone +18604600060 / LinkedIn / contact form
25,Bill Potter Marine Surveys,Bill Potter,billpotter@ymail.com,marine_surveyor,likely_valid,5,5,"30+ years surveying experience; SAMS member. Specialty: center consoles, outboards, sport fish convertibles — matches TradeWind boat marketplace pre-purchase flow.",buyers asking who to trust for surveys,2026-06-01,phone +13059899100 / LinkedIn / contact form
26,Florida Marine Surveyors,Ian Morris,info@floridamarinesurveyors.com,marine_surveyor,likely_valid,5,5,SAMS AMS in Fort Lauderdale — global yacht capital and TradeWind's highest-density boat transaction market.,buyers asking who to trust for surveys,2026-06-01,phone +19549528719 / LinkedIn / contact form
27,"Gladding Marine Survey, Inc.",William K. (Bill) Gladding,bill@gladdingmarinesurvey.com,marine_surveyor,likely_valid,5,5,"SAMS AMS since 2004, 25+ years in yacht building/repair/surveying. Covers Brunswick GA to Daytona Beach FL — useful for cross-state TradeWind transactions.",buyers asking who to trust for surveys,2026-06-01,phone +19049450511 / LinkedIn / contact form
28,R.V. Marine Surveying & Consulting LLC,Reinier Van Der Herp,rvmarinesurveying@gmail.com,marine_surveyor,likely_valid,5,5,"Dual-credentialed (SAMS AMS + NAMS CMS) covering NJ / East Coast — Barnegat Bay, Atlantic City, NY Harbor.",buyers asking who to trust for surveys,2026-06-01,phone +16096939005 / LinkedIn / contact form
29,"Flagship Boat Transport (Flagship Yacht Brokers, Inc.)",Suzan,info@boattransportpros.com,transport,likely_valid,5,5,"28+ yrs experience. Powerboats/sailboats/yachts. Oversized-load specialty including permits, route surveys, pole cars, police escorts. NC base covers Southeast lanes well.",buyers asking about transport,2026-06-01,phone +12524451480 / LinkedIn / contact form
30,Florida Boat Transport LLC,Greg Hutchens,greg@floridaboattransport.com,transport,likely_valid,5,5,Veteran-owned since 1991. Fleet of 40 tractors/trailers with specialty racking and bunking. Domestic + international yacht hauling. FL HQ aligns with TradeWind Southeast deal flow.,buyers asking about transport,2026-06-01,phone +18139208200 / LinkedIn / contact form
31,Intercity Lines,Dispatch / Sales Team,info@intercitylines.com,transport,likely_valid,5,5,Premier enclosed auto transport; official transporter for Gooding & Company and Hagerty Marketplace auctions. Classic/exotic specialty. FL-NE-TX lanes.,buyers asking about transport,2026-06-02,phone +18002213936 / LinkedIn / contact form
32,"Joule Yacht Transport, Inc.",Sales Team,sales@JouleYacht.com,transport,likely_valid,5,5,"Founded 1954; one of America's largest private yacht trucking carriers. Powerboats, sailboats, oversized yachts. Clearwater FL HQ — core TradeWind Southeast lane.",buyers asking about transport,2026-06-02,phone +18002370727 / LinkedIn / contact form
33,Passport Transport,Sales Team,sales@passporttransport.com,transport,likely_valid,5,5,"Personalized enclosed carrier transport since 1970; serves top collectors, auction houses, concours, classic car dealers. Perfect fit for TradeWind exotic/classic closings.",buyers asking about transport,2026-06-02,phone +18665823185 / LinkedIn / contact form
34,Yacht Trucking (Safe Harbor Haulers),Eric,Eric@SafeHarborHaulers.com,transport,likely_valid,5,5,"Specializes in oversize leisure boats, sailboats, and truckable yacht transports. Pensacola FL base serves Gulf Coast / TX-FL lanes.",buyers asking about transport,2026-06-02,phone +14138222224 / LinkedIn / contact form
35,Burkard Yacht Sales,Chris Burkard,sales@burkardyachts.com,yacht_broker,likely_valid,5,5,"25+ years marine experience, CPYB certified, specializes in vessels over 100 ft.",routed buyers for the larger boats,2026-06-02,phone +12392533670 / LinkedIn / contact form
36,Donnelly Yachts,Shawn Donnelly,info@donnelly-yachts.com,yacht_broker,likely_valid,5,5,Founded 2005. Covers Savannah / Charleston / Jacksonville. Chris Donnelly brings 45-year marine career to family firm.,quick note for donnelly yachts,2026-06-02,phone +19122729500 / LinkedIn / contact form
37,Hansen Yachts Sales,Mike Webster,goboatinginflorida@gmail.com,yacht_broker,likely_valid,5,5,Sole proprietor since 2019; 30+ years experience; based at Lambs Marina with personalized one-on-one model.,a routed feed for your listings,2026-06-02,phone +19049230033 / LinkedIn / contact form
38,Intracoastal Yacht Sales,Captain Bobby Gregory,bgregory@intracoastalyachtsales.com,yacht_broker,likely_valid,5,5,"Charleston native, USCG Captain since 1998, College of Charleston grad, lifelong boater. Serves Charleston City Marina.",quick note for intracoastal yacht sales,2026-06-02,phone +18434126587 / LinkedIn / contact form
39,Jeff Brown Yachts (Charleston),Jeff Brown,jeff@jeffbrownyachts.com,yacht_broker,likely_valid,5,5,Fastest-growing luxury yacht dealership in US; exclusive Mid-Atlantic Axopar / BRABUS Marine dealer; recently expanded to Charleston.,quick note for jeff brown yachts,2026-06-02,phone +18432770777 / LinkedIn / contact form
40,Little Yacht Sales,Kent Little,info@LittleYachtSales.com,yacht_broker,likely_valid,5,5,Kent + Liz Little; 40+ yrs in yacht sales; team has 150+ combined years. Catalina/Jeanneau/Beneteau dealer plus Key West office.,quick note for little yacht sales,2026-06-02,phone +18445972628 / LinkedIn / contact form
41,Mark Zeigler Yacht Sales,Mark Zeigler,mark@mzyachts.com,yacht_broker,likely_valid,5,5,Independent owner-operator broker partnered with Lambs Yacht Center and Port 32 marinas — boats kept undercover.,quick note for mark zeigler yacht sales,2026-06-03,phone +19043890500 / LinkedIn / contact form
42,Miami International Yacht Sales,Robert Lama,bob@miamiys.com,yacht_broker,likely_valid,5,5,Founded 2011; applies commercial real estate principles to yachts in the 100-250 ft superyacht class.,routed buyers for the larger boats,2026-06-03,phone +13058578939 / LinkedIn / contact form
43,Sea Lake Yachts LLC,Doug Hughes,doug@sealakeyachtsllc.com,yacht_broker,likely_valid,5,5,Husband/wife team Doug + Angela Hughes since 1989 (37+ yrs). Authorized X-Yachts dealer on Galveston Bay.,quick note for sea lake yachts,2026-06-03,phone +12815494724 / LinkedIn / contact form
44,Southwest Florida Yachts,Barb Hansen,info@swfyachts.com,yacht_broker,likely_valid,5,5,Owned and operated by Barb and Vic Hansen since 1984 — 40+ years on Florida's SW coast.,quick note for southwest florida yachts,2026-06-03,phone +12392572788 / LinkedIn / contact form
45,Voller Boat Broker,Gary Voller,gary@vollerboatbroker.com,yacht_broker,likely_valid,5,5,Independent solo broker serving Fort Pierce / Vero Beach / Sebastian — personalized one-on-one model.,a routed feed for your listings,2026-06-03,phone +17723214872 / LinkedIn / contact form
46,Vanguard Motor Sales,Tom Photsios,tom@vanguardmotorsales.com,classic_dealer,likely_valid,5,4,"80,000-sq-ft indoor showroom of hand-picked (not consignment) muscle/classic/hot rod inventory. Wholesale acquirer — buyer-side lead flow is incremental.",your classic inventory,2026-06-03,phone +12489749513 / LinkedIn / contact form
47,Pier-1 Marine,Joe D'Amico,joed@pier-1marine.com,yacht_broker,likely_valid,5,4,SW Florida's distinguished yacht brokerage with 28 brokers across FL boating destinations. Full-service marine center.,quick note for pier-1 marine,2026-06-03,phone +19416397777 / LinkedIn / contact form
48,"Avpro, Inc.",Aircraft Sales Team,info@avprojets.com,aircraft_broker,likely_valid,4,4,"One of the world's largest business-jet brokerages: 60–100 jet transactions per year, commission-only model. Citation through Gulfstream.",quick aircraft broker question,2026-06-03,phone +14105731515 / LinkedIn / contact form
49,Finnoff Aviation,Chris Finnoff,info@finnoff.com,aircraft_broker,likely_valid,4,4,Exclusive-listing Pilatus PC-12 brokerage. Known Blackhawk XP67A engine upgrade partner — niche turboprop authority.,routed buyers for your specialty,2026-06-03,phone +13034440552 / LinkedIn / contact form
50,"Jeteffect, Inc.",Charley Lloyd,cl@jeteffect.com,aircraft_broker,likely_valid,4,4,"Decades-long business jet brokerage; Citation, Hawker, Falcon, Gulfstream transactions. FL base for FL/Caribbean owner pool.",quick aircraft broker question,2026-06-03,phone +15617472223 / LinkedIn / contact form
